Date,USD Exchange,Rain fall,Labour cost,Big Onion Price,Fertilizer,Red Onion Price
01-Jan-17,151.67,0,1100,81,1495,114
02-Jan-17,151.68,0,1100,97,1495,97
03-Jan-17,151.7,0,1100,81,1495,113
04-Jan-17,151.73,0,1100,67,1495,118
05-Jan-17,151.7,0,1100,67,1495,116
06-Jan-17,151.74,0,1100,80,1495,117
07-Jan-17,151.74,0,1100,81,1495,97
08-Jan-17,151.78,0,1100,81,1495,97
09-Jan-16,151.78,0,1100,70,1495,93
10-Jan-17,151.78,0,1100,70,1495,97
11-Jan-17,151.74,0,1100,70,1495,103
12-Jan-17,151.74,0,1100,81,1495,97
13-Jan-17,151.76,0,1100,70,1495,95
14-Jan-17,151.76,0,1100,81,1495,97
15-Jan-17,151.84,0.5,1100,81,1495,97
16-Jan-17,151.84,0,1100,60,1495,95
17-Jan-17,151.84,0,1100,80,1495,97
18-Jan-17,151.84,0,1100,81,1495,97
19-Jan-17,151.88,0,1100,80,1495,93
20-Jan-17,152.03,0,1100,78,1495,88
21-Jan-17,152.03,4.6,1100,80,1495,97
22-Jan-17,152.14,52.1,1100,81,1495,97
23-Jan-17,152.14,0,1100,81,1495,90
24-Jan-17,152.21,0,1100,80,1495,90
25-Jan-17,152.24,2.6,1100,83,1495,98
26-Jan-17,152.24,17.5,1100,83,1495,83
27-Jan-17,152.16,8.1,1100,83,1495,78
28-Jan-17,152.16,1,1100,81,1495,97
29-Jan-17,152.15,0.2,1100,81,1495,97
30-Jan-17,152.15,0.1,1100,83,1495,83
31-Jan-17,152.24,0,1100,80,1495,86
01-Feb-17,152.34,0,1100,80,1495,88
02-Feb-17,152.28,2,1100,78,1495,95
03-Feb-17,152.27,0,1100,78,1495,105
04-Feb-17,152.27,0,1100,85,1495,105
05-Feb-17,152.33,0,1100,85,1495,105
06-Feb-17,152.33,0,1100,79,1495,98
07-Feb-17,152.44,0,1100,88,1495,118
08-Feb-17,152.49,0,1100,88,1495,118
09-Feb-17,152.44,0,1100,83,1495,108
10-Feb-17,152.44,0,1100,85,1495,105
11-Feb-17,152.44,0,1100,85,1495,105
12-Feb-17,152.44,0,1100,85,1495,105
13-Feb-17,152.44,0,1100,83,1495,118
14-Feb-17,152.45,0,1100,88,1495,118
15-Feb-17,152.44,25.6,1100,90,1495,118
16-Feb-17,152.45,0,1100,90,1495,93
17-Feb-17,152.57,0,1100,93,1495,118
18-Feb-17,152.57,0,1100,85,1495,105
19-Feb-17,152.88,0,1100,85,1495,105
20-Feb-17,152.88,0,1100,103,1495,108
21-Feb-17,153.44,0,1100,88,1495,93
22-Feb-17,153.56,0,1100,83,1495,93
23-Feb-17,154.21,0,1100,83,1495,100
24-Feb-17,154.21,0,1100,85,1495,105
25-Feb-17,153.74,0,1100,85,1495,105
26-Feb-17,153.74,0,1100,85,1495,105
27-Feb-17,153.74,0,1100,85,1495,105
28-Feb-17,153.48,0,1100,73,1495,102
01-Mar-17,153.31,0,1100,83,1495,93
02-Mar-17,153.21,0,1100,85,1495,95
03-Mar-17,153.16,3,1100,84,1495,115
04-Mar-17,153.16,2.2,1100,86,1495,113
05-Mar-17,153.11,3.8,1100,86,1495,113
06-Mar-17,153.11,54.1,1100,78,1495,115
07-Mar-17,153.15,0,1100,68,1495,115
08-Mar-17,153.18,0,1100,83,1495,93
09-Mar-17,153.44,0,1100,83,1495,95
10-Mar-17,153.49,0,1100,88,1495,103
11-Mar-17,153.49,23.1,1100,86,1495,113
12-Mar-17,153.52,0,1100,86,1495,113
13-Mar-17,153.52,0,1100,93,1495,73
14-Mar-17,153.69,0,1100,103,1495,93
15-Mar-17,153.84,0,1100,93,1495,115
16-Mar-17,154.04,36.2,1100,85,1495,133
17-Mar-17,154.17,0.2,1100,85,1495,133
18-Mar-17,154.17,0,1100,86,1495,113
19-Mar-17,153.9,0,1100,86,1495,113
20-Mar-17,153.9,0,1100,83,1495,128
21-Mar-17,153.79,0,1100,80,1495,143
22-Mar-17,153.78,0,1100,88,1495,110
23-Mar-17,153.8,0,1100,90,1495,127
24-Mar-17,153.8,0,1100,95,1495,135
25-Mar-17,153.8,0,1100,86,1495,113
26-Mar-17,153.96,0,1100,86,1495,113
27-Mar-17,153.96,0,1100,88,1495,118
28-Mar-17,153.96,0,1100,95,1495,110
29-Mar-17,154.02,0,1100,88,1495,118
30-Mar-17,153.94,0,1100,85,1495,128
31-Mar-17,153.91,0,1100,85,1495,113
01-Apr-17,153.91,0,1100,87,1495,174
02-Apr-17,153.86,0,1100,87,1495,174
03-Apr-17,153.86,0,1100,90,1495,110
04-Apr-17,153.81,4,1100,87,1495,174
05-Apr-17,153.72,0,1100,88,1495,125
06-Apr-17,153.84,0,1100,93,1495,118
07-Apr-17,153.83,0,1100,93,1495,148
08-Apr-17,153.83,0,1100,87,1495,174
09-Apr-17,153.83,0,1100,87,1495,174
10-Apr-17,154.01,0,1100,87,1495,174
11-Apr-17,154.01,0,1100,87,1495,260
12-Apr-17,154.2,0,1100,87,1495,198
13-Apr-17,154.2,0,1100,87,1495,174
14-Apr-17,154.2,0,1100,87,1495,174
15-Apr-17,154.1,0,1100,87,1495,174
16-Apr-17,154.1,0,1100,87,1495,174
17-Apr-17,154.1,0,1100,87,1495,147
18-Apr-17,154.12,0,1100,87,1495,188
19-Apr-17,154.17,0,1100,93,1495,195
20-Apr-17,154.4,0,1100,88,1495,213
21-Apr-17,154.31,0,1100,87,1495,174
22-Apr-17,154.31,0,1100,87,1495,174
23-Apr-17,154.29,0,1100,87,1495,174
24-Apr-17,154.29,0,1100,83,1495,193
25-Apr-17,154.29,0,1100,83,1495,158
26-Apr-17,154.31,0,1100,83,1495,188
27-Apr-17,154.24,0,1100,83,1495,185
28-Apr-17,154.24,0,1100,78,1495,188
29-Apr-17,154.24,0,1100,87,1495,174
30-Apr-17,154.25,0,1100,87,1495,174
01-May-17,154.25,0,1100,87,1495,259
02-May-17,154.25,0,1100,79,1495,190
03-May-17,154.27,0,1100,80,1495,208
04-May-17,154.34,0,1100,83,1495,218
05-May-17,154.22,0,1100,83,1495,228
06-May-17,154.22,0,1100,73,1495,259
07-May-17,154.09,1.9,1100,79,1495,259
08-May-17,154.09,0,1100,79,1495,198
09-May-17,154.2,0.1,1100,73,1495,228
10-May-17,154.2,0,1100,73,1495,259
11-May-17,154.23,25.8,1100,79,1495,259
12-May-17,154.23,0.6,1100,79,1495,290
